,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,language,premise,choice1,choice2,question,label
34,34,34,34,34,Chinese,马戏团表演者在骑独轮车时玩杂耍。,观众惊讶地欢呼。,杂技演员从空中飞来飞去。,effect,0
35,35,35,35,35,Chinese,我失去了耐心。,我的朋友一直让我等着。,我的朋友准时到达。,cause,0
36,36,36,36,36,Chinese,交战国家要求和平。,他们研发了核武器。,他们商定了一项条约。,effect,1
37,37,37,37,37,Chinese,那人吃了安眠药。,他变得昏昏欲睡。,他发烧了。,effect,0
38,38,38,38,38,Chinese,那女人撞到沙发上。,沙发的腿松了。,她擦伤了膝盖。,effect,1
39,39,39,39,39,Chinese,这个男孩挤气球。,气球破了。,气球飞走了。,effect,0
40,40,40,40,40,Chinese,旅客入住了他们的旅馆房间。,他们打开了行李箱。,他们去了机场。,effect,0
41,41,41,41,41,Chinese,我咬了桃子。,桃子坏了。,果汁溅出来了。,effect,1
42,42,42,42,42,Chinese,我的手发粘。,我吃了甜甜圈。,我爱吃甜食。,cause,0
43,43,43,43,43,Chinese,我推了门。,门开了。,门锁上了。,effect,0
44,44,44,44,44,Chinese,激进分子抵制了这些产品。,产品通过了质量保证测试。,产品是由童工制造出来的。,cause,1
45,45,45,45,45,Chinese,我在墙上钻了一个洞。,一只老鼠从洞里爬出来。,灰尘从孔中吹出。,effect,1
46,46,46,46,46,Chinese,这个女人羡慕她的妹妹。,她妹妹很高兴。,她妹妹离婚了。,cause,0
47,47,47,47,47,Chinese,我把酒洒在衬衫上了。,我穿上了围裙。,我换了衬衫。,effect,1
48,48,48,48,48,Chinese,收银员打开了收银机。,顾客翻找着他的钱包。,顾客把钱递过来了。,cause,1
49,49,49,49,49,Chinese,街头音乐家吸引了一群人。,人们给了他零钱。,他把人群赶走了。,effect,0
50,50,50,50,50,Chinese,小男孩向他的保姆哭了。,他想念他的父母。,那是点心时间。,cause,0
51,51,51,51,51,Chinese,飞行员的雷达发现了一场风暴。,飞行员避开了风暴。,飞行员飞过了风暴。,effect,0
52,52,52,52,52,Chinese,这棵树落叶了。,叶子变色了。,叶子堆积在地面上。,effect,1
53,53,53,53,53,Chinese,这个男孩想恶作剧。,他决定和妹妹玩纸牌游戏。,他决定对捉弄妹妹。,effect,1
54,54,54,54,54,Chinese,这个孩子抱怨说他必须去洗手间。,父亲给他喝了苏打水。,他的父亲把汽车停在了加油站。,effect,1
55,55,55,55,55,Chinese,孩子将鱼食撒进水缸。,鱼从水缸里跳了出来。,鱼游向了食物。,effect,1
56,56,56,56,56,Chinese,女人的政治观点发生了变化。,她换了党派。,她参与了抗议。,effect,0
57,57,57,57,57,Chinese,浴室的水槽堵塞了。,我打开水龙头。,我向水槽倒入了下水道清洁剂。,effect,1
58,58,58,58,58,Chinese,乘客们下了火车。,火车到达了车站。,火车鸣笛。,cause,0
59,59,59,59,59,Chinese,该名男子按下信封的湿口。,他在信封上盖了邮票。,他把信封密封好了。,effect,1
60,60,60,60,60,Chinese,朋友们失去了联系。,他们享受彼此的陪伴。,他们搬去了不同的城市。,cause,1
61,61,61,61,61,Chinese,会计师对公司的资金管理不善。,她被解雇了。,她休了产假。,effect,0
62,62,62,62,62,Chinese,我看着时钟。,我听到时钟的滴答声。,我想查看时间。,cause,1
63,63,63,63,63,Chinese,我的手紧缩起来。,我手写了论文。,我和妻子牵了手。,cause,0
64,64,64,64,64,Chinese,螺栓被拧紧了。,我更换了螺栓。,我扭动了扳手。,cause,1
65,65,65,65,65,Chinese,这对夫妇签了一份公寓租约。,这对夫妇搬进了公寓。,市政府将该公寓判为危房。,effect,0
66,66,66,66,66,Chinese,那个女人坐在门廊外面。,她想看日落。,她以为自己看见了闪电。,cause,0
67,67,67,67,67,Chinese,该男子在水中穿着救生衣。,他不会游泳。,水很浅。,cause,0
68,68,68,68,68,Chinese,那个女人在文字处理器中打了一个错字。,她删除了文件。,她按下了退格键。,effect,1
69,69,69,69,69,Chinese,这个女孩向她的朋友吹牛。,她的成绩不好。,她比赛获胜了。,cause,1
70,70,70,70,70,Chinese,草坪是泥泞的。,下了一夜的雨。,到处都是杂草。,cause,0
71,71,71,71,71,Chinese,女人睡过头了。,她在旅馆住了一晚。,她忘了设置闹钟。,cause,1
72,72,72,72,72,Chinese,男人涂上了防晒霜。,他坐在阴影里。,他去了海滩。,cause,1
73,73,73,73,73,Chinese,研究人员证明了这一理论。,研究人员撤回了这一理论。,大众接受了这一理论。,effect,1
74,74,74,74,74,Chinese,比赛中的球迷嘘声高涨。,游戏进入加时赛。,裁判做出了错误的判断。,cause,1
75,75,75,75,75,Chinese,我在锁上输入了我的组合密码。,我给它上锁了。,锁开了。,effect,1
76,76,76,76,76,Chinese,人群越来越多。,父亲递给儿子一些钱。,父亲握住儿子的手。,effect,1
77,77,77,77,77,Chinese,雪挡住了车道。,我把雪聚成一个雪球。,我把雪铲开了。,effect,1
78,78,78,78,78,Chinese,皮划艇者划着桨。,皮划艇划到了岸边。,皮划艇遇上了风浪。,effect,0
79,79,79,79,79,Chinese,那女孩的自行车失控了。,她松开了车把。,她撞上了篱笆。,effect,1
80,80,80,80,80,Chinese,我打开了风扇。,水洒在我的皮肤上。,我感到凉风拂过。,effect,1
81,81,81,81,81,Chinese,冲浪者回到海滩。,他们浑身湿透了。,他们看到了一条鲨鱼。,cause,1
82,82,82,82,82,Chinese,我拉开了浴缸里的排水塞。,水从浴缸中排出。,水溅到地板上。,effect,0
83,83,83,83,83,Chinese,丈夫因欺骗妻子而感到内疚。,他指责她不忠。,他向她坦白了他的不忠。,effect,1
84,84,84,84,84,Chinese,海报上的墨水抹开了。,我等着墨水变干。,我在海报上洒了水。,cause,1
85,85,85,85,85,Chinese,孩子大叫着起来。,他做了一个噩梦。,他弄湿了床。,cause,0
86,86,86,86,86,Chinese,这个男孩把脚放在桌子上。,父亲在桌旁坐下了。,父亲教育了他。,effect,1
87,87,87,87,87,Chinese,我的朋友朝我的方向转过头。,我喊了他的名字。,我挥舞了双臂。,cause,0
88,88,88,88,88,Chinese,政府压迫其公民。,公民发动了叛乱。,公民登记投票。,effect,0
89,89,89,89,89,Chinese,这个男孩在树林里迷路了。,他搭了一个帐篷。,他尖叫求救。,effect,1
90,90,90,90,90,Chinese,这女人出国旅行了。,她想学习画画。,她想了解其他文化。,cause,1
91,91,91,91,91,Chinese,这个男人嫉妒他的同事。,他的同事得到了晋升。,他的同事工作到很晚。,cause,0
92,92,92,92,92,Chinese,这男人目睹了外星人。,他那时出现了幻觉。,他那时在冥想。,cause,0
93,93,93,93,93,Chinese,那男人的头发变成了金色。,他在头发里放了漂白剂。,他在头发里放了洗发水。,cause,0
94,94,94,94,94,Chinese,艺术家创作了新作品。,她批评了她以前的作品。,她感到一阵灵感。,cause,1
95,95,95,95,95,Chinese,儿子离开了家。,他被退伍。,他要去上大学。,cause,1
96,96,96,96,96,Chinese,书从书架上掉了下来。,架子上满是灰尘。,一场地震震动了书架。,cause,1
97,97,97,97,97,Chinese,我家停电了。,我打开了一盏灯。,我重置了断路器。,effect,1
98,98,98,98,98,Chinese,我们坐了过山车。,它看起来很吓人。,它看起来很有趣。,cause,1
99,99,99,99,99,Chinese,爆米花的袋子开始发出爆裂声。,我把黄油倒进了袋子里。,我用微波炉给它加了热。,cause,1
100,100,100,100,100,Chinese,一棵树倒在电线上。,附近停电了。,天气预报说有大风。,effect,0
101,101,101,101,101,Chinese,演讲者发表了政治上不正确的评论。,他使听众感到厌烦。,他冒犯了听众。,effect,1
102,102,102,102,102,Chinese,我用针刺伤了自己。,一滴汗从我脸上滴下来。,我的手指上形成了一滴血。,effect,1
103,103,103,103,103,Chinese,鱼漂浮在水箱表面。,它饿了。,它死了。,cause,1
104,104,104,104,104,Chinese,那人的声音听起来嘶哑了。,他感冒了。,他戒烟了。,cause,0
105,105,105,105,105,Chinese,电梯门开了。,电梯到达指定的楼层。,电梯卡在楼层间。,cause,0
106,106,106,106,106,Chinese,少年溜出家门。,他对他的父母撒了谎。,他的父母把他关了禁闭。,cause,1
107,107,107,107,107,Chinese,浴室被淹了。,马桶溢出了。,热水器坏了。,cause,0
108,108,108,108,108,Chinese,小狗呆在主人附近。,主人给小狗戴上了项圈。,主人把小狗拴在狗绳上。,cause,1
109,109,109,109,109,Chinese,那人看见了他的倒影。,他站在一棵大树下。,他站在平静的湖面上。,cause,1
110,110,110,110,110,Chinese,我错过了我女朋友的电话。,我给她回了电话。,我与她共进晚餐。,effect,0
111,111,111,111,111,Chinese,这家人搜查了附近。,他们的狗离家出走了。,他们家丢失了昂贵的珠宝。,cause,0
112,112,112,112,112,Chinese,当我呼出时，我看到了我的呼吸。,天气很冷。,我的胸部感觉很紧。,cause,0
113,113,113,113,113,Chinese,雇员们组成了一个工会。,他们想要更好的工作条件。,他们的雇主提高了工资。,cause,0
114,114,114,114,114,Chinese,我烤了一个苹果派。,厨房弥漫着腐烂的气味。,厨房里弥漫着温暖的香气。,effect,1
115,115,115,115,115,Chinese,那女人挣扎着走路。,她穿着高跟鞋。,她脱下鞋子。,cause,0
116,116,116,116,116,Chinese,蒸汽从锅上升出。,水煮沸了。,我盖上了锅盖。,cause,0
117,117,117,117,117,Chinese,我所有的袜子都在洗衣房里。,我穿着凉鞋。,我穿着靴子。,effect,0
118,118,118,118,118,Chinese,那位政治家的论点被认为是荒谬的。,他失去了选民的支持。,他被指控腐败。,effect,0
119,119,119,119,119,Chinese,每个人都不赞成这对夫妇的订婚。,这对夫妇怀孕了。,这对夫妇私奔了。,effect,1
120,120,120,120,120,Chinese,这栋楼是献给这位百万富翁的。,这位百万富翁希望把大楼拆掉。,这位百万富翁捐了钱来建造它。,cause,1
121,121,121,121,121,Chinese,售货员指控那个女孩偷窃。,售货员看到那个女孩把商品放在钱包里。,售货员帮助那个女孩找到她喜欢的钱包。,cause,0
122,122,122,122,122,Chinese,这个国家向邻国宣战。,士兵被派去战斗。,士兵们与家人团聚。,effect,0
123,123,123,123,123,Chinese,法院维持了这项有争议的裁决。,法庭前爆发了一场骚乱。,一对夫妇在法院门前交换了誓言。,effect,0
124,124,124,124,124,Chinese,女孩闻到有东西烧焦了。,她把饼干从罐子里拿出来。,她把饼干忘在烤箱里了。,cause,1
125,125,125,125,125,Chinese,大雨倾盆而下。,暴风雨更猛烈了。,我冲了进去。,effect,1
126,126,126,126,126,Chinese,大楼被疏散了。,电梯停止运转。,火警响了。,cause,1
127,127,127,127,127,Chinese,父亲憎恨儿子酗酒。,父亲给儿子买了一杯啤酒。,父亲把儿子赶出了家门。,effect,1
128,128,128,128,128,Chinese,律师爬楼去她的办公室。,秘书这天回家了。,电梯坏了。,cause,1
129,129,129,129,129,Chinese,那人对他的朋友很恼火。,他的朋友打断了他。,他的朋友给他买了午餐。,cause,0
130,130,130,130,130,Chinese,那个女孩把钱交给了收银员。,收银员把找的钱给了那个女孩。,收银员忘了给那个女孩一张收据。,effect,0
131,131,131,131,131,Chinese,那女人被放在轮椅上。,她在一次事故中瘫痪了。,她被担架抬进了医院。,cause,0
132,132,132,132,132,Chinese,市民们把国旗挂在家门外。,这个国家正在纪念它的独立。,这个国家正面临经济困难。,cause,0
133,133,133,133,133,Chinese,该队输掉了比赛。,他们让他们的球迷失望了。,他们鼓舞了他们的球迷。,effect,0
134,134,134,134,134,Chinese,我的朋友指出我的牙齿里塞了食物。,我感到很尴尬。,我很自豪。,effect,0
135,135,135,135,135,Chinese,这个男孩没有通过历史考试。,他在课堂上认真听讲了。,他忘了学习。,cause,1
136,136,136,136,136,Chinese,市中心的大楼倒塌了。,一场地震袭击了这个城市。,这个城市的犯罪率上升了。,cause,0
137,137,137,137,137,Chinese,那男人的女朋友和他分手了。,他恳求她再次接受他。,她把他介绍给她的父母。,effect,0
138,138,138,138,138,Chinese,两个孩子同时伸手去取回球。,球滚开了。,他们的头相撞了。,effect,1
139,139,139,139,139,Chinese,熊洗劫了垃圾桶。,垃圾桶里有纸板。,垃圾桶的盖子没盖上。,cause,1
140,140,140,140,140,Chinese,男孩把铅笔磨光了。,它很便宜。,它很钝。,cause,1
141,141,141,141,141,Chinese,收银员拒绝给那女人退款。,她丢了收据。,这件衣服不合适。,cause,0
142,142,142,142,142,Chinese,我皮肤上的划痕很深。,它很快愈合了。,它留下了一个疤痕。,effect,1
143,143,143,143,143,Chinese,火车上的乘客奇怪地看着他。,他盯着地面。,他在自言自语。,cause,1
144,144,144,144,144,Chinese,孩子把面包屑留在了地板上。,蚂蚁爬到了面包屑上。,孩子把面包收了起来。,effect,0
145,145,145,145,145,Chinese,那个女人递给她的妹妹一张纸巾。,女人的妹妹叠起了她的手。,女人的妹妹哭了起来。,cause,1
146,146,146,146,146,Chinese,那人拿了薄荷。,他的嘴唇裂开了。,他担心口臭。,cause,1
147,147,147,147,147,Chinese,这对夫妇早早地离开去看演出。,他们预计剧院周围会有堵车。,他们知道去剧院的路。,cause,0
148,148,148,148,148,Chinese,那女人呆在家里没去上班。,她的老板表扬了她。,她的同事帮她掩护。,effect,1
149,149,149,149,149,Chinese,那人在维权人士的请愿书上签了名。,他支持他们的事业。,他谴责他们疯了。,cause,0
150,150,150,150,150,Chinese,演员在演出前心慌。,他有上台紧张症。,他记住了他的台词。,cause,0
151,151,151,151,151,Chinese,我迷路了。,我数了一下我的现金。,我展开了一张地图。,effect,1
152,152,152,152,152,Chinese,成熟的果实在阳光下摇动。,它被吃了。,它枯萎了。,effect,1
153,153,153,153,153,Chinese,汽车抛锚了。,我转动了点火装置。,发动机过热。,cause,1
154,154,154,154,154,Chinese,那人伤了背部。,他去看精神病医生了。,他在床上呆了几天。,effect,1
155,155,155,155,155,Chinese,我在壁炉里生了火。,我没柴火了。,房子里很冷。,cause,1
156,156,156,156,156,Chinese,那女人停止了慢跑。,她一侧身体抽筋了。,她恢复了精力。,cause,0
157,157,157,157,157,Chinese,我敲了邻居的门。,我的邻居邀请我进来。,我的邻居离开了她的房子。,effect,0
158,158,158,158,158,Chinese,那女人沮丧地叹了口气。,她丈夫误解了她的顾虑。,她丈夫与她吻别。,cause,0
159,159,159,159,159,Chinese,老师表扬了学生。,学生正确回答了问题。,学生犹豫着回答问题。,cause,0
160,160,160,160,160,Chinese,那女人的鸡蛋用完了。,她去了农场。,她去了超市。,effect,1
161,161,161,161,161,Chinese,我遇到了一位老朋友。,我向他透露了一个秘密。,我给了他一个拥抱。,effect,1
162,162,162,162,162,Chinese,那女人避免去湖边。,她钓到了一条鱼。,它看起来被污染了。,cause,1
163,163,163,163,163,Chinese,学生来上课时浑身湿透了。,他的伞坏了。,他的自行车被偷了。,cause,0
164,164,164,164,164,Chinese,电脑屏幕上的光标移动了。,用户单击了鼠标。,用户移动了鼠标。,cause,1
165,165,165,165,165,Chinese,司机绕道而行。,主干道上发生了一起事故。,她跟着前面的卡车。,cause,0
166,166,166,166,166,Chinese,我把湿床单挂在户外晾衣绳上。,床单干了。,床单染色了。,effect,0
167,167,167,167,167,Chinese,那女人戴上了她的墨镜。,阳光很大。,她叫了一辆出租车。,cause,0
168,168,168,168,168,Chinese,那人凝视着夜空。,他希望那是夏天。,他认为它很漂亮。,cause,1
169,169,169,169,169,Chinese,我感到筋疲力尽。,我很早就上床睡觉了。,我熬夜了。,effect,0
170,170,170,170,170,Chinese,那人去找理发师。,他正在长头发。,他的头发变长了。,cause,1
171,171,171,171,171,Chinese,这个男孩恶意地捉弄了他的新同学。,这个男孩欢迎这个新同学。,这个男孩不喜欢这个新同学。,cause,1
172,172,172,172,172,Chinese,我想喝一杯牛奶。,我在吃饼干。,我在烤面包。,cause,0
173,173,173,173,173,Chinese,天开始下雨了。,司机打开了大前灯。,司机把车倒过来了。,effect,0
174,174,174,174,174,Chinese,大楼的停车场是空的。,我把车停在街对面。,我把车停在入口附近。,effect,1
175,175,175,175,175,Chinese,作者错过了提交草稿的最后期限。,她犯了写作障碍。,她编辑了草稿。,cause,0
176,176,176,176,176,Chinese,同事挂断了我的电话。,我要求与主管谈话。,我提供了我的身份证号码。,cause,0
177,177,177,177,177,Chinese,风吹过开着的窗户。,门铃响了。,窗帘抖动了。,effect,1
178,178,178,178,178,Chinese,我家的电停了。,我拔下台灯的插头。,我烧断了保险丝。,cause,1
179,179,179,179,179,Chinese,举重运动员发出哼声。,他在镜子里展示他的肌肉。,他把杠铃杆举过头顶。,cause,1
180,180,180,180,180,Chinese,这个学生试图心算。,他拿出了一个计算器。,他弄糊涂了。,effect,1
181,181,181,181,181,Chinese,婴儿睡着了。,父亲换了婴儿的尿布。,父亲轻轻地摇动着婴儿。,cause,1
182,182,182,182,182,Chinese,女孩把水气球扔向男孩。,那男孩得了脑震荡。,男孩被淋湿了。,effect,1
183,183,183,183,183,Chinese,摄影师忘了用相机上的闪光灯。,照片模糊不清。,照片上的每个人都拒绝微笑。,effect,0
184,184,184,184,184,Chinese,我谢绝了生日聚会的邀请。,我很孤独。,我不在城里。,cause,1
185,185,185,185,185,Chinese,我锻炼了。,我感到精力充沛。,我很害怕。,cause,0
186,186,186,186,186,Chinese,我挤压了这个湿海绵。,它浸湿了水。,水从中渗出。,effect,1
187,187,187,187,187,Chinese,游客们乘坐渡轮去度假村。,度假村已被预订好。,度假村在一个岛上。,cause,1
188,188,188,188,188,Chinese,这个少年有纹身。,她害怕打针。,她想叛逆。,cause,1
189,189,189,189,189,Chinese,一辆陌生的车停在我家外面。,我开始起疑了。,我给警察打了电话。,effect,0
190,190,190,190,190,Chinese,罪犯自首了。,证据指向了他。,没有不利于他的证据。,cause,0
191,191,191,191,191,Chinese,那个魁梧的人决定减肥。,他戒了甜食。,他避免咖啡因。,effect,0
192,192,192,192,192,Chinese,女孩踩在了冰上。,她滑倒了。,她颤抖着。,effect,0
193,193,193,193,193,Chinese,那女人眼睛下面有眼袋。,她熬夜了。,她把儿子安顿睡觉了。,cause,0
194,194,194,194,194,Chinese,熔岩从火山中流出。,火山爆发了。,火山处于休眠状态。,cause,0
195,195,195,195,195,Chinese,那女人穿上鞋子。,她认识聚会上的每个人。,她想离开聚会。,cause,1
196,196,196,196,196,Chinese,我向收费站服务员付了费。,她让我通过了收费站。,她在收费站把我拦下了。,effect,0
197,197,197,197,197,Chinese,执行官破产了。,他卖掉了公司的股票。,他挥霍了他的财产。,cause,1
198,198,198,198,198,Chinese,那人去看医生了。,医生正在休假。,那人感到不适。,cause,1
199,199,199,199,199,Chinese,我从窗户离开卧室。,房子着火了。,房子是空的。,cause,0
200,200,200,200,200,Chinese,男孩的手指变得皱了。,他洗了很长时间澡。,他用肥皂打手。,cause,0
201,201,201,201,201,Chinese,我吐出牛奶。,牛奶尝起来很酸。,我的嘴是干的。,cause,0
202,202,202,202,202,Chinese,我错过了公共汽车。,我很早就去上班了。,我上班迟到了。,effect,1
203,203,203,203,203,Chinese,卡车与汽车相撞。,卡车加速了。,汽车被撞坏了。,effect,1
204,204,204,204,204,Chinese,这支队伍以对他们有利的方式操纵了比赛。,他们赢了。,他们退出了。,effect,0
205,205,205,205,205,Chinese,汽水瓶发出嘘声。,我把瓶子翻了过来。,我拧掉了帽子。,cause,1
206,206,206,206,206,Chinese,那个男孩被锁在屋外。,他从一扇开着的窗户爬进来。,他爬上屋顶。,effect,0
207,207,207,207,207,Chinese,门铃响了。,来访者轻拍门上的门环。,那女人从门上的钥匙孔里窥视着。,effect,1
208,208,208,208,208,Chinese,那人弄脏了他的西装。,他干洗了。,他把它挂在壁橱里。,effect,0
209,209,209,209,209,Chinese,女孩挤了牙膏管。,牙膏从管子里喷出来。,女孩吐出牙膏。,effect,0
210,210,210,210,210,Chinese,战争造成的平民死亡人数激增。,和平主义者举行了抗议。,和平主义者举行了游行。,effect,0
211,211,211,211,211,Chinese,那个女孩把丝带从头发上拉了出来。,她系上丝带。,丝带看起来很幼稚。,cause,1
212,212,212,212,212,Chinese,那男人做了整形手术。,他老了。,他看起来更年轻。,effect,1
213,213,213,213,213,Chinese,一只小鸡从鸡蛋里出来。,鸡蛋孵化了。,我把鸡蛋打碎了。,cause,0
214,214,214,214,214,Chinese,囚犯饿死了。,他死了。,他逃走了。,effect,0
215,215,215,215,215,Chinese,那人在梯子上失去了平衡。,他爬上梯子。,他从梯子上摔下来了。,effect,1
216,216,216,216,216,Chinese,孩子打嗝了。,他大喝了一口苏打水。,他打开汽水罐。,cause,0
217,217,217,217,217,Chinese,一股冷风从窗户进来。,我放松了。,我颤抖。,effect,1
218,218,218,218,218,Chinese,这个学生获得了上大学的奖学金。,她的同学尊敬她。,她成绩很好。,cause,1
219,219,219,219,219,Chinese,那个女孩打趣那个男孩。,她住在他隔壁。,她迷恋上了他。,cause,1
220,220,220,220,220,Chinese,饥饿的流浪汉偷走了食物。,他煽动怜悯。,他没有钱。,cause,1
221,221,221,221,221,Chinese,我打电话给我的朋友聊天。,我想要隐私。,我感到孤独。,cause,1
222,222,222,222,222,Chinese,那人向我伸出手来。,我握了握他的手。,我打了他一耳光。,effect,0
223,223,223,223,223,Chinese,我躲开了。,烟火在空中燃放。,飞盘朝我的头飞去。,cause,1
224,224,224,224,224,Chinese,那个女孩咬了指甲。,她很担心。,她很惊讶。,cause,0
225,225,225,225,225,Chinese,我翻了一页日历。,我在日历上标了一个约会。,这是一个新的月的开始。,cause,1
226,226,226,226,226,Chinese,丈夫发现他的妻子有外遇。,他解雇了他的律师。,他提出离婚。,effect,1
227,227,227,227,227,Chinese,那个女孩掉了橡皮球。,球弹了起来。,球闪闪发光。,effect,0
228,228,228,228,228,Chinese,这个女孩考试犯了一个错误。,她猜到了答案。,她抹去了她的答案。,effect,1
229,229,229,229,229,Chinese,那个选手扭倒了对手。,他的对手抓住了传球。,他的对手击倒了地面。,effect,1
230,230,230,230,230,Chinese,我从藤蔓上摘了西红柿。,他们成熟了。,我给他们浇水。,cause,0
231,231,231,231,231,Chinese,那人想表现得浪漫。,他和前女友共进午餐。,他给他女朋友买了巧克力。,effect,1
232,232,232,232,232,Chinese,温度计中的汞上升。,我把温度计掉了。,天气变暖和了。,cause,1
233,233,233,233,233,Chinese,龙卷风穿过了整个城镇。,法院的屋顶被吹掉了。,公路可能引起危险地结冰了。,effect,0
234,234,234,234,234,Chinese,这个学生接受了辅导。,他的成绩提高了。,他在考试中作弊了。,effect,0
235,235,235,235,235,Chinese,我感觉很舒服。,我跪在地上。,我把自己裹在毯子里。,cause,1
236,236,236,236,236,Chinese,我把石头磨光了。,它变得很滑。,它变得有光泽。,effect,1
237,237,237,237,237,Chinese,我在咖啡里加了糖。,咖啡闻起来很浓。,咖啡尝起来很甜。,effect,1
238,238,238,238,238,Chinese,那人翻阅了报纸。,他被纸划了。,他把文件撕碎了。,effect,0
239,239,239,239,239,Chinese,我用锤子敲钉子。,钉子插进了木头里。,钉子生锈了。,effect,0
240,240,240,240,240,Chinese,鱼咬了线。,渔夫把鱼收了过来。 ?。,渔夫重投了鱼线。,effect,0
241,241,241,241,241,Chinese,这个少年上学很尴尬。,她有粉刺。,她脱下了牙套。,cause,0
242,242,242,242,242,Chinese,我的面部表情亮了起来。,我收到了好消息。,我失去了耐心。,cause,0
243,243,243,243,243,Chinese,我用毛巾擦了擦手。,毛巾是湿的。,我的手湿了。,cause,1
244,244,244,244,244,Chinese,那人失去了在凳子上的平衡。,凳子在他下面摇晃。,他把油漆洒在凳子上。,cause,0
245,245,245,245,245,Chinese,队友们互相指责。,他们输掉了比赛。,他们的教练取消了练习。,cause,0
246,246,246,246,246,Chinese,我请求宽恕。,我为我的错误感到遗憾。,我实现了我的目标。,cause,0
247,247,247,247,247,Chinese,这个女人对她的约会感到厌烦了。,他问她关于自己的问题。,他不停地谈论自己。,cause,1
248,248,248,248,248,Chinese,女孩闪过一个微笑。,她的脸颊发红了。,她出现酒窝了。,effect,1
249,249,249,249,249,Chinese,敌舰爆炸了。,它越过了水雷。,它驶入港口。,cause,0
