,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,language,sentence1,sentence2,label
104,104,104,104,English,"In 2014 , Adam wrote a Gothic Trilogy revisions of classic stories Frankenstein , The Corruption of Dorian Gray and Jekyll Hyde Corpus Delicti","In 2014 Adam wrote a Gothic Trilogy reworkings of classic stories Frankenstein , The Corruption Of Dorian Gray and Jekyll & Hyde Corpus Delicti",1
105,105,105,105,English,Mrs. Glad had worked in Ovamboland in 1901 -- 1919 and 1926 -- in 1936 and was there as the first inspector of schools .,"Mrs. Glad had worked in Ovamboland in 1901 -- 1919 and 1926 -- 1936 , and had acted there as the first inspector of schools .",1
106,106,106,106,English,He describes this as a new discovery of fiction - writing and considers it a mytho-realism of Chinese literature .,"He considers this a `` new discovery '' of fiction writing , and designates it a `` Mytho-realism '' ) of Chinese literature .",0
107,107,107,107,English,"In 1953 , the team also toured in Australia and in Asia in August 1959 .",The team also toured in Australia in 1953 and Asia in August 1959 .,1
108,108,108,108,English,Ronnie Fields did not play a single game in the NBA or in the NCAA .,Ronnie Fields did not play a single game in the NCAA or in the NBA .,1
109,109,109,109,English,The new playground is equipped with modern fitness equipment for children .,The playground is modern with new fitness equipment for the children .,0
110,110,110,110,English,"Probuccinum tenerum is a type of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks marine .","Probuccinum tenerum is a species of sea snail , a marine gastropod mollusk in the family Buccinidae , the true whelks .",0
111,111,111,111,English,Abraham Hart was President and Mayer Sulzberger Secretary of the Trustees .,"President was Mayer Sulzberger , and Abraham Hart was Secretary of the Trustees .",0
112,112,112,112,English,"Juhi Chawla has two children with wife Jahnavi Mehta , a girl , Mehta ( born 2001 ) and a boy , Arjun Mehta ( born 2003 ) .","Mehta has two children with wife Juhi Chawla , a girl , Jahnavi Mehta ( born in 2001 ) and a boy , Arjun Mehta ( born 2003 ) .",0
113,113,113,113,English,The degree of distinction between Protestant and Catholic tendencies within the specific Anglican tradition is routinely a matter of debate both within Anglican churches and throughout the Anglican Communion .,The degree of distinction between Protestant and Catholic tendencies within the Anglican tradition is routinely a matter of debate within both specific Anglican churches and throughout the Anglican community .,0
114,114,114,114,English,"Slough High School was a selective school for girls in Slough , Buckinghamshire , now Berkshire .","Slough High School was a girls selective grammar school in Slough , Buckinghamshire , now Berkshire .",1
115,115,115,115,English,Lobethal Bierhaus is a regional brewery with influences of German style .,"Lobethal Bierhaus is a regional beer brewery , with German style influences .",1
116,116,116,116,English,"Long was born in Israel , migrated as a young man to Australia and settled there in 1961 .","Lang was born in Australia , migrated to Israel as a young man and settled there in 1961 .",0
117,117,117,117,English,"He retired in Milwaukee , Wisconsin , where he died on 5 May 1903 .","He died in Wisconsin , Milwaukee , where he retired on 5 May 1903 .",0
118,118,118,118,English,"The cap colour varies from brown to brown , often with a yellow spot on the cap at the maturity .","The cap color varies from brown to yellow , often with a brown spot on the cap at maturity .",0
119,119,119,119,English,The river Valea lui Lambă or `` unk '' imon river is a tributary of the River Lom in Romania .,The Valea lui Lambă River or Șimon River is a tributary of the Lom River in Romania .,1
120,120,120,120,English,"The completed fence is located mainly in Texas , with the construction in New Mexico , Arizona and California .","The completed fence is mainly in Texas , with construction underway in New Mexico , Arizona , and California .",1
121,121,121,121,English,"Buccinum pulchellum is a species of sea snail , a marine gastropod mollusk in the Buccinidae family , the true whell-horn scrolls .","Buccinum pulchellum is a species of sea snail , a true gastropod mollusk in the family Buccinidae , the marine whelks .",0
122,122,122,122,English,"On 30 April 1983 , a C - 311 assigned to NAS Guantanamo Bay , Cuba , crashed at NAS Jacksonville with the loss of 13 human lives .","On April 30 , 1983 , a C-311 that was assigned to NAS Jacksonville , Cuba , at NAS Guantanamo Bay crashed with the loss of 13 lives .",0
123,123,123,123,English,"As a reward for his loyalty to Henry , he acquired lucrative lands and many offices in southern Wales .","As a reward for his loyalty to Henry , he acquired many lands and lucrative offices in South Wales .",0
124,124,124,124,English,"In 2010 , New York University defeated Harvard University 3-1-1 in order to win its first National Championship .","In 2010 , New York University defeated Harvard University 3-1-1 to win its first National Championship .",1
125,125,125,125,English,The river Neajlovel is a tributary of the River Neajlov in Romania .,Neajlov River is a tributary of the Neajlovel River in Romania .,0
126,126,126,126,English,"The agency has its headquarters in Arlington , Virginia , and its overseas office in Paris , France .","The agency has its headquarters in Arlington , Virginia , and its Overseas Operations Office in Paris , France .",1
127,127,127,127,English,The Neajlov River is a tributary of the Neajlovel River in Romania .,The river Neajlovel is a tributary of the River Neajlov in Romania .,0
128,128,128,128,English,"Ahmad Yar Khan was born into the Tiwana family of Shahpur , son of Sahib Khan .","Sahib Khan was born into the Tiwana family of Shahpur , the son of Ahmad Yar Khan .",0
129,129,129,129,English,"Born in Brooklyn , New York , he died in Tiburon , California .","It was born in Tiburon , California , and died in Brooklyn , New York .",0
130,130,130,130,English,"Proposals from Met to extend from Paddington to South Kensington and south from Moorgate to Tower Hill to the south were accepted and received royal consent on July 29 , 1864 .","Suggestions from Met to extend from Paddington to South Kensington and east from Moorgate to Tower Hill to the south were accepted and received royal consent on July 29 , 1864 .",0
131,131,131,131,English,"The poem is preserved in four fragmentary manuscripts , of which a contemporary one .","The poem is preserved in four contemporary manuscripts , one of which is fragmented :",0
132,132,132,132,English,"Webster Grove 's city council consisted of members of the council Greg Mueller , Ken Burns , Kathy Hart , Debi Salberg , Toni Hunt and Anne Tolan .","The Webster Groves City Council consisted of council members Greg Mueller , Ken Burns , Kathy Hart , Debi Salberg , Toni Hunt , and Anne Tolan .",1
133,133,133,133,English,"Therefore , the falling melting and boiling points of the alkali metals indicate that the strength of the metallic bonds of the alkali metals decreases down the group .","Therefore , the falling melting and boiling points of the alkali metals indicate that the strength of the metallic bonds of the alkali metals in the group decreases .",1
134,134,134,134,English,"Scrivener dates the manuscript to the 13th century , C. R. Gregory to the 12th century , currently the manuscript is dated to the 12th century by INTF .","Scrivener dated the manuscript to the 12th century , C. R. Gregory to the 13th century . Currently the manuscript is dated by the INTF to the 12th century .",0
135,135,135,135,English,County Road 540 is a few miles west of State Road 540 in Highland City and runs south from US 98 to the County Road 37B .,County Road 540 is a few miles south of State Road 540 in Highland City and runs west from US 98 to County Road 37B .,0
136,136,136,136,English,"The SPB has a constant height size ( distance from inner plaque to outer plaque ) for about 150 nm , but its diameter changes during the cell cycle , z .","The SPB has inner height size ( the outer plaque to constant plaque distance ) for about 150 nm , but its diameter changes during cell cycle , e.g .",0
137,137,137,137,English,Rami Nieminen ( born 25 February 1966 ) is a Finnish former footballer .,"Rami Nieminen ( born February 25 , 1966 ) is a Finnish footballer .",1
138,138,138,138,English,He was the cousin of the Czech national player Miroslav Hlinka and son of former player Jaroslav Hlinka sr .,He was the cousin of Czech national team player Miroslav Hlinka and the son of former player Jaroslav Hlinka sr .,1
139,139,139,139,English,They were there to pray for us and they were there to enjoy us .,They were there for us to pray and they were there for us to enjoy .,1
140,140,140,140,English,"William Llewelyn Williams , better known as Llewelyn Williams ( March 10 , 1867 - April 22 , 1922 ) , was a radical journalist , lawyer and Welsh liberal party politician .","William Williams , known as Llewelyn Williams ( March 10 , 1867 -- April 22 , 1922 ) , was a Welsh journalist , lawyer , and radical Liberal party politician .",0
141,141,141,141,English,The Giant Plane is the third largest and oldest tree in Poland and the country 's thickest London plane .,"The Giant Plane is the third largest and oldest tree in Poland , and the thickest London plane in the country .",1
142,142,142,142,English,"Molmys River is a river in Perm Krai , Russia , a tributary of the Yazva River on the left .","Yazva is a river in Perm Krai , Russia , a left tributary of the Molmys River .",0
143,143,143,143,English,Sarika asks Kabir to end his plan to reveal him Ranvir 's game .,Kabir asks Sarika to reveal his plan to end Ranvir 's game .,0
